5,"The Senate just released roughly 1,800 of pages of interviews about Donald Trump Jr.'s 2016 Trump Tower meeting with a Russian lawyer - here are the highlights",business-insider,"The Senate Judiciary Committee on Wednesday released thousands of pages of transcripts from interviews with Donald Trump Jr., and other members of the Trump cam",,,
9,Italy is thinking about taking a $250 billion write down and that has traders starting to freak out about Greece,business-insider,Italy is thinking about taking a $250 billion write down and that has traders starting to freak out about Greece,,,
3,A $1.2 trillion money manager has a wake-up call for anyone who's bullish,business-insider,BI PRIME: Northern Trust considered that there's room for disappointment relative to expectations and downgraded its growth forecasts for the US economy. Though,,,
5,Donald Trump Jr. responds to Senate Judiciary Committee document dump,business-insider,Donald Trump Jr. responded to the Senate Judiciary Committee's Wednesday release of the closed-door interview transcripts with the attendees of the controversia,,,
3,GOLDMAN SACHS: Buy these 13 stocks for their explosive sales growth as market-wide profits dry up,business-insider,BI PRIME: Investors have been rewarding companies less for beating earnings forecasts as they prepare for an inevitable profit slowdown. Goldman Sachs says they,,,
2,Why so many fast food logos are red,business-insider,"McDonald's. Arby's. Wendy's. Burger King. Jack in the Box. In-N-Out and more all use the color red heavily in their logos, why? The answer goes back thousands o",,,
3,Holding money in cash hasn't been this attractive since the financial crisis - here's why that's a terrible sign for markets,business-insider,BI PRIME: Cash and cash-like holdings such as Treasurys haven't been this appealing relative to other assets since 2008. This development is indicative of multi,,,
8,Trump appears to backtrack on sanctions relief for Chinese tech giant ZTE amid escalating concerns,business-insider,"President Donald Trump said Wednesday that ""nothing has happened with ZTE"" after lawmakers on both sides of the aisle criticized the president's decision to wal",,,
4,'Waiting for its Uber moment': High costs of healthcare are turning big companies into activists,business-insider,BI Prime: Healthcare costs are getting so high - and now 'activist employers' are trying to do something about it.,,,
4,Amazon has started rejecting cities' proposals for its 2nd headquarters,business-insider,"Amazon seems to be narrowing the field of finalist cities for its second headquarters, HQ2. Officials in Arlington, Texas, revealed the details of their bid and",,,
2,Why I Still Fast During Ramadan,buzzfeed,"I know the ways in which I fail in the face of my beliefs, and yet I wish to consider myself forgiven once each year.",,,
2,"11 Times ""The Office"" Made You Laugh Out Loud, And 11 Times It Made You Cry Uncontrollably",buzzfeed,"""I. Declare. BANKRUPTCY!""",,,
9,"Kensington Palace Has Completely Lost Control Of Harry and Meghan's Wedding, Say Royal Media. It's TMZ's Show Now",buzzfeed,"""The palace aides are like ostriches sticking their heads in the sand and they keep getting shafted up the bottom.""",,,
2,Tell Us Your Food Preferences And We'll Reveal What Kind Of Dog You Are,buzzfeed,So delicious!,,,
2,Here's What People Are Buying On Amazon Right Now,buzzfeed,"Movers and Shakers is a list of products on Amazon that are currently rising in the rankings. This week: Kenra Blowdry Spray, a pineapple shirt, and miniature cast iron skillets.",,,
1,Your Guide To The Royal Wedding 2018: Everything You Need To Know,buzzfeed,"Here's what you need to know about Prince Harry and Meghan Markle's wedding, including the date and time, how to watch it, and food and drink recipes you can make to celebrate the couple.",,,
1,Which DC Hero Are You Most Like?,buzzfeed,"It's a bird, it's a plane, it's....",,,
3,"JP Morgan's Wall Street chief talks China, bitcoin, Amazon, and preparing for an inevitable big downturn in stocks",cnbc,A Q&A with JP Morgan Chase's co-president Daniel Pinto.,,,
8,Trump says his actions on China's ZTE are part of 'larger trade deal' and China has 'much to give',cnbc,"President Donald Trump said Wednesday his reversal on Chinese company ZTE only relates to a ""larger trade deal"" his administration seeks with Beijing.",,,
8,Trump says he'll have to see if summit with Kim Jong Un is still happening,cnbc,President Donald Trump said Wednesday he will have to see if a planned summit with North Korean dictator Kim Jong Un will still take place.,,,
5,Pennsylvania's new congressional map sets off a scramble for campaign cash,cnbc,The reshuffling of Pennsylvania's congressional districts confusion may offer Democrats a chance to take control of a handful of Republican seats.,,,
5,"Anthony Scaramucci, days after Trump hired him at the White House, reached out to promoter who helped set up Trump Tower meeting with Russians",cnbc,"Scaramucci's email to Goldstone came in late July 2017, after Trump appointed him to the senior White House role.",,,
5,Embattled EPA chief Scott Pruitt tripped up in Senate testimony over security request,cnbc,Sen. Tom Udall submitted evidence in a Senate hearing contradicting Pruitt's claim he can't recall asking security to use car lights and sirens.,,,
5,"Senate incumbents in Nebraska, Pennsylvania breeze past primaries with big money leads",cnbc,"Incumbent senators in Nebraska and Pennsylvania breezed through their primaries Tuesday night, leaving them with healthy funding advantages over their rivals in the general election campaign.",,,
3,"Actively managed blockchain fund launches into crowded ETF field with bets on Square, AMD",cnbc,"The REX BKCM ETF (BKC) is actively managed by Brian Kelly, a CNBC contributor and head of BKCM, which runs a digital assets strategy for clients.",,,
4,Watch Mark Zuckerberg talk about privacy concerns in this 2010 interview,cnbc,"Facebook CEO Mark Zuckerberg spoke with CNBC in 2010 about newly introduced privacy features on the social network, eight years before the Cambridge Analytica scandal.",,,
4,"Lachlan Murdoch will be Fox CEO if Disney merger passes, leaving room for James Murdoch to depart",cnbc,"His brother James Murdoch, who is currently the CEO of 21st Century Fox, is notably missing from the announcement.",,,
5,Senate panel releases Trump Tower meeting transcripts,cnn,"The Senate Judiciary Committee on Wednesday released nearly 2,000 pages of transcripts from interviews the panel conducted with Donald Trump Jr. and other participants of a June 2016 Trump Tower meeting.",,,
5,Trump Tower transcripts released: Live updates,cnn,The Senate Judiciary Committee has released transcripts of the June 2016 meeting at Trump Tower. Follow here for the latest.,,,
5,The stupidity of Donald Trump Jr.,cnn,"WikiLeaks is in league with Russia, yet the Trumps were so interested in winning that they were willing to engage enemies of the state, flouting basic ethical norms, Jill Filipovic says.",,,
5,Trump Tower transcripts released: Live updates,cnn,"The Senate Judiciary Committee just released nearly 2,000 pages of transcripts from interviews the panel conducted with Donald Trump Jr. and other participants of a June 2016 Trump Tower meeting.",,,
8,"Parkland school resource officer decried as coward gets princely pension of $8,702 a month",cnn,"The former school resource officer criticized for his response to the Parkland school massacre is receiving more than $8,700 a month in state pension, Florida Department of Management Services spokeswoman Nina Ashley said Wednesday.",,,
8,A white woman sees a black man inspecting a house and calls the cops. But there's a twist,cnn,"The cop told the woman who reported Michael Hayes to the police, ""If you try to do anything to stop him, I'm going to take you to jail.""",,,
6,Dez: No regrets for passing on Ravens' offer,espn,"Free agent receiver Dez Bryant, who wants a one-year deal for 2018, said he doesn't regret passing on an offer made by the Ravens.",,,
6,Sherpa guides set records with Everest climbs,espn,"Sherpa guide Kami Rita reached the summit of Mount Everest for a record 22nd time, while Lakpa Sherpa set a women's record with her ninth climb.",,,
6,Celtics not bothered by Lue's 'gooning' remark,espn,"Cavaliers coach Tyronn Lue said after Game 2 that the Celtics are ""gooning the game up."" Several Boston players brushed off the remark and said they just playing hard.",,,
6,Abuse survivors win ESPY Ashe Courage award,espn,The women who spoke out against former USA Gymnastics and Michigan State team doctor Larry Nassar will receive the Arthur Ashe Courage Award.,,,
6,"Votto apologizes to Paxton, Canada for remarks",espn,Reds All-Star Joey Votto apologized to James Paxton and Canadian baseball for his comments on the Mariners pitcher and fellow Canadian's feat of throwing a no-hitter on his home country's soil this month.,,,
1,Okami HD Gets Nintendo Switch Release Date - IGN,ign,You can pre-order Okami HD on the Nintendo eShop starting today.,,,
1,The Big Bang Theory Might Continue After Season 12 After All - IGN,ign,The Season 11 finale of The Big Bang Theory performed quite well for CBS. and with no signs that the hit series is slowing down.,,,
1,The First 7 Minutes of The Crew 2 - IGN Video,ign,"We drive, sail and fly through the opening race of The Crew 2.",,,
1,"Freedom, Fun, and Formula 1 in The Crew 2 - IGN",ign,Ivory Tower strips out the crime saga and doubles-down on freedom and fun.,,,
7,How Jurassic World Evolution Made Its T.Rex - IGN First - IGN,ign,The team at Frontier break down all of the work that went into realising one of the franchise's most iconic dinosaurs.,,,
7,"How the Xbox Was Born at 35,000 Feet - IGN Unfiltered - IGN",ign,"How Bill Gates, a Sony faux pas, and one very determined developer helped birth the Xbox.",,,
1,Deadpool 2 Is Set to Have a $350 Million Worldwide Opening - IGN,ign,The first Deadpool made an estimated $264 million worldwide in its opening weekend.,,,
